discipline_title;slug_game;event_title;event_gender;medal_type;participant_type;participant_title;athlete_id;country_name;country_3_letter_code
Sailing;stockholm-1912;8m mixed;Open;GOLD;GameTeam;Taifun;;Norway;NOR
Athletics;berlin-1936;high jump women;Women;BRONZE;Athlete;;elfriede-kaun;Germany;GER
Wrestling;los-angeles-1932;Light-Heavyweight, Freestyle (?87 kilograms) Men;Men;BRONZE;Athlete;;richard-edward-scarf;Australia;AUS
Fencing;beijing-2008;foil individual women;Women;GOLD;Athlete;;maria-valentina-vezzali;Italy;ITA
Swimming;amsterdam-1928;400m freestyle men;Men;SILVER;Athlete;;andrew-murray-charlton;Australia;AUS
Athletics;paris-1900;1500m men;Men;GOLD;Athlete;;charles-bennett;Great Britain;GBR
Athletics;los-angeles-1932;4x100m relay women;Women;SILVER;GameTeam;Canada team;;Canada;CAN
Athletics;london-2012;high jump men;Men;SILVER;Athlete;;robert-grabarz;Great Britain;GBR
Canoe Sprint;atlanta-1996;K1 500m kayak single women;Women;GOLD;Athlete;;rita-koban;Hungary;HUN
Cycling Road;beijing-2008;individual road race men;Men;GOLD;Athlete;;samuel-sanchez-gonzalez;Spain;ESP
Taekwondo;tokyo-2020;Women -57kg;Women;GOLD;Athlete;;anastasija-zolotic;United States of America;USA
Equestrian Dressage;los-angeles-1932;individual mixed;Men;SILVER;Athlete;;charles-louis-pierre-marion;France;FRA
Fencing;london-2012;sabre individual men;Men;SILVER;Athlete;;diego-occhiuzzi;Italy;ITA
Athletics;rio-2016;1500m men;Men;SILVER;Athlete;;taoufik-makhloufi;Algeria;ALG
Shooting;tokyo-1964;300m free rifle 3 positions 3 men;Men;BRONZE;Athlete;;martin-ingemar-gunnarsson;United States of America;USA
Sailing;london-2012;470 - Two Person Dinghy men;Men;BRONZE;GameTeam;Argentina team;lucas-calabrese;Argentina;ARG
Swimming;seoul-1988;400m freestyle women;Women;GOLD;Athlete;;janet-evans;United States of America;USA
Figure skating;calgary-1988;Pairs mixed;Mixed;BRONZE;GameTeam;United States team #1;jill-watson;United States of America;USA
Canoe Sprint;london-2012;K-1 500m (kayak single) women;Women;GOLD;Athlete;;danuta-kozak;Hungary;HUN
Swimming;london-2012;200m individual medley women;Women;SILVER;Athlete;;alicia-coutts;Australia;AUS
Athletics;mexico-city-1968;400m men;Men;SILVER;Athlete;;george-lawrence-james;United States of America;USA
Athletics;rio-2016;high jump men;Men;GOLD;Athlete;;derek-drouin;Canada;CAN
Athletics;paris-1924;800m men;Men;SILVER;Athlete;;paul-rene-martin;Switzerland;SUI
Weightlifting;london-1948;75-82.5kg total lightheavyweight men;Men;SILVER;Athlete;;harold-toshiyuki-sakata;United States of America;USA
Rowing;london-1948;single sculls 1x men;Men;SILVER;Athlete;;eduardo-g-risso;Uruguay;URU
Swimming;tokyo-2020;Women's 400m Freestyle;Women;SILVER;Athlete;;katie-ledecky;United States of America;USA
Snowboard;beijing-2022;Men's Parallel Giant Slalom;Men;SILVER;Athlete;;tim-mastnak;Slovenia;SLO
Diving;berlin-1936;3m springboard women;Women;SILVER;Athlete;;katherine-louise-rawls;United States of America;USA
Boxing;helsinki-1952;63.5-67kg welterweight men;Men;BRONZE;Athlete;;gunther-heidemann;Germany;GER
Cycling Track;london-2012;Keirin men;Men;BRONZE;Athlete;;simon-van-velthooven;New Zealand;NZL
Shooting;london-1908;rifle team men;Men;GOLD;GameTeam;Great Britain team #1;;Great Britain;GBR
Shooting;seoul-1988;skeet (125 targets) men;Open;SILVER;Athlete;;alfonso-de-irruarrizaga;Chile;CHI
Taekwondo;rio-2016;+ 67 kg women;Women;BRONZE;Athlete;;;United States of America;USA
Shooting;berlin-1936;50m rifle prone 60 shots men;Men;GOLD;Athlete;;willy-rogeberg;Norway;NOR
Diving;paris-1924;plain high diving men;Men;SILVER;Athlete;;john-jansson;Sweden;SWE
Gymnastics Artistic;rome-1960;floor exercises men;Men;GOLD;Athlete;;nobuyuki-aihara;Japan;JPN
Freestyle Skiing;sochi-2014;Ski Cross women;Women;SILVER;Athlete;;kelsey-serwa;Canada;CAN
Speed skating;st-moritz-1948;1500m men;Men;GOLD;Athlete;;sverre-farstad;Norway;NOR
Biathlon;lake-placid-1980;20km men;Men;GOLD;Athlete;;anatoly-alyabyev;Soviet Union;URS
Bobsleigh;sapporo-1972;four-man men;Men;SILVER;GameTeam;Italy team #1;;Italy;ITA
Volleyball;tokyo-2020;Women;Women;BRONZE;GameTeam;Serbia;;Serbia;SRB
Swimming;mexico-city-1968;4x100m freestyle relay women;Women;GOLD;GameTeam;United States team;;United States of America;USA
Biathlon;beijing-2022;Women's 10km Pursuit;Women;GOLD;Athlete;;marte-olsbu-roeiseland;Norway;NOR
Sailing;los-angeles-1984;470 - Two Person Dinghy men;Open;BRONZE;GameTeam;France team;luc-pillot;France;FRA
Volleyball;munich-1972;volleyball men;Men;BRONZE;GameTeam;Soviet Union team;;Soviet Union;URS
Equestrian Eventing;mexico-city-1968;individual mixed;Open;BRONZE;Athlete;;michael-owen-page;United States of America;USA
Athletics;rome-1960;long jump women;Women;SILVER;Athlete;;elzbieta-dunska-krzesinska;Poland;POL
Athletics;tokyo-2020;Men's 110m Hurdles;Men;BRONZE;Athlete;;ronald-levy;Jamaica;JAM
Beach Volleyball;sydney-2000;Beach volleyball women;Women;SILVER;GameTeam;Brazil team #1;;Brazil;BRA
Wrestling;barcelona-1992;Lightweight, Freestyle (?68 kilograms) Men;Men;BRONZE;Athlete;;kosei-akaishi;Japan;JPN
Gymnastics Artistic;tokyo-1964;vault men;Men;GOLD;Athlete;;haruhiro-yamashita;Japan;JPN
Alpine Skiing;cortina-d-ampezzo-1956;slalom men;Men;SILVER;Athlete;;chiharu-igaya;Japan;JPN
Beach Volleyball;beijing-2008;Beach volleyball women;Women;GOLD;GameTeam;United States team #1;misty-may-treanor;United States of America;USA
Biathlon;salt-lake-city-2002;4x75km relay men;Men;GOLD;GameTeam;Norway team;;Norway;NOR
Badminton;athens-2004;Singles men;Men;BRONZE;Athlete;;sony-dwi-kuncoro;Indonesia;INA
Figure skating;squaw-valley-1960;Individual women;Women;GOLD;Athlete;;carol-heiss;United States of America;USA
Gymnastics Artistic;paris-1924;pommel horse men;Men;SILVER;Athlete;;jean-gutweninger;Switzerland;SUI
Tennis;london-1908;singles indoor men;Men;BRONZE;Athlete;;josiah-george-ritchie;Great Britain;GBR
Rowing;los-angeles-1984;double sculls 2x men;Men;GOLD;GameTeam;United States team;paul-n-enquist;United States of America;USA
Cross Country Skiing;st-moritz-1948;50km men;Men;SILVER;Athlete;;harald-eriksson;Sweden;SWE
Swimming;beijing-2008;200m freestyle women;Women;BRONZE;Athlete;;jiaying-pang;People's Republic of China;CHN
Gymnastics Artistic;melbourne-1956;vault men;Men;GOLD;Athlete;;valentin-muratov;Soviet Union;URS
Speed skating;innsbruck-1964;500m men;Men;SILVER;Athlete;;vladimir-orlov;Soviet Union;URS
Equestrian Dressage;london-2012;Dressage Team Grand Prix mixed;Open;GOLD;GameTeam;Great Britain team;;Great Britain;GBR
Swimming;athens-2004;200m butterfly women;Women;SILVER;Athlete;;petria-thomas;Australia;AUS
Biathlon;turin-2006;10km men;Men;BRONZE;Athlete;;frode-andresen;Norway;NOR
Boxing;munich-1972;- 48kg (light-flyweight) men;Men;GOLD;Athlete;;gyorgy-gedo;Hungary;HUN
Athletics;tokyo-1964;800m men;Men;BRONZE;Athlete;;wilson-chuma-kiprugut;Kenya;KEN
Athletics;stockholm-1912;400m men;Men;GOLD;Athlete;;charles-decker-reidpath;United States of America;USA
Wrestling;seoul-1988;Super-Heavyweight, Freestyle (?130 kilograms) Men;Men;SILVER;Athlete;;bruce-robert-baumgartner;United States of America;USA
Athletics;atlanta-1996;1500m men;Men;GOLD;Athlete;;nourredine-morceli;Algeria;ALG
Karate;tokyo-2020;Women's Kumite -55kg;Women;BRONZE;Athlete;;bettina-plank;Austria;AUT
Wrestling;beijing-2008;Lightweight, Freestyle (?60 kilograms) Men;Men;BRONZE;Athlete;;seyedmorad-mohammadi;Islamic Republic of Iran;IRI
Taekwondo;london-2012;80 kg men;Men;SILVER;Athlete;;anthony-mylann-obame;Gabon;GAB
Gymnastics Artistic;montreal-1976;uneven bars women;Women;GOLD;Athlete;;nadia-comaneci;Romania;ROU
Canoe Sprint;beijing-2008;K2 500m kayak double men;Men;SILVER;GameTeam;Germany team;tim-wieskotter;Germany;GER
Gymnastics Artistic;barcelona-1992;rings men;Men;BRONZE;Athlete;;andreas-wecker;Germany;GER
Swimming;melbourne-1956;1500m freestyle men;Men;SILVER;Athlete;;tsuyoshi-yamanaka;Japan;JPN
Cycling Track;athens-2004;Team Pursuit 4000m men;Men;BRONZE;GameTeam;Spain team;;Spain;ESP
Athletics;antwerp-1920;hammer throw men;Men;BRONZE;Athlete;;;United States of America;USA
Boxing;montreal-1976;75-81kg lightheavyweight men;Men;BRONZE;Athlete;;costica-dafinoiu;Romania;ROU
Canoe Slalom;barcelona-1992;K1 kayak single women;Women;BRONZE;Athlete;;dana-chladek;United States of America;USA
Ice Hockey;st-moritz-1948;ice hockey men;Men;GOLD;GameTeam;Canada team;;Canada;CAN
Cross Country Skiing;vancouver-2010;50km men;Men;GOLD;Athlete;;petter-northug-jr;Norway;NOR
Wrestling;athens-2004;Featherweight, Freestyle (?55 kilograms) Men;Men;GOLD;Athlete;;mavlet-batirov;Russian Federation;RUS
Archery;barcelona-1992;team FITA Olympic round  70m women;Women;GOLD;GameTeam;Republic of Korea team;;Republic of Korea;KOR
Sailing;munich-1972;dragon mixed;Open;SILVER;GameTeam;East Germany team;;German Democratic Republic (Germany);GDR
Cross Country Skiing;nagano-1998;Relay 4x5km women;Women;GOLD;GameTeam;Russian Federation team;;Russian Federation;RUS
Wrestling;london-1948;Heavyweight, Greco-Roman (>87 kilograms) Men;Men;GOLD;Athlete;;ahmet-kirecci;Turkey;TUR
Athletics;sydney-2000;javelin throw women;Women;GOLD;Athlete;;trine-hattestad;Norway;NOR
Boxing;athens-2004;75-81kg lightheavyweight men;Men;GOLD;Athlete;;andre-ward;United States of America;USA
Bobsleigh;salt-lake-city-2002;two-man men;Men;SILVER;GameTeam;Switzerland team #1;steve-anderhub;Switzerland;SUI
Swimming;amsterdam-1928;100m freestyle women;Women;SILVER;Athlete;;eleanor-saville;United States of America;USA
Wrestling;amsterdam-1928;Middleweight, Greco-Roman (?75 kilograms) Men;Men;GOLD;Athlete;;vaino-anselmi-kokkinen;Finland;FIN
Athletics;rio-2016;pole vault men;Men;GOLD;Athlete;;thiago-braz-da-silva;Brazil;BRA
Rowing;moscow-1980;double sculls 2x women;Women;GOLD;GameTeam;Soviet Union team;;Soviet Union;URS
